epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,74.31858643423766,5.122877073008567,0.9366333333333333,0.9346218660797194,0.9816666666666667,0.9812350733538041
2,26.621403276221827,5.2748646882828325,0.9807333333333333,0.9801251633312702,0.9846666666666667,0.9840885506745071
3,15.016491585818585,2.686538374517113,0.9896333333333334,0.9892976358443167,0.9903333333333333,0.9900275103163686
4,8.591392214468215,3.2078292339647305,0.9939,0.9937002994939584,0.9916666666666667,0.9913941480206541
5,6.816655957598414,2.816110654908698,0.9954,0.9952495697074011,0.9913333333333333,0.9910406616126809
6,4.368067493900526,2.8496594816751895,0.9966333333333334,0.9965214396418116,0.9925,0.992274678111588
7,4.684828047655174,2.7888969818523037,0.9968,0.9966939871892003,0.9918333333333333,0.9916081520808357
8,3.19592400115107,2.913674143026583,0.9978666666666667,0.9977969018932874,0.9905,0.9902112313240597
9,2.444283578930481,2.715169808070641,0.9981666666666666,0.998105995385516,0.9938333333333333,0.9936239875926245
10,2.7405009398153197,2.6399849624558556,0.9982666666666666,0.9982101060167975,0.9935,0.9932978174944148
11,1.4075004896385508,2.94144985823732,0.9991333333333333,0.999104744852283,0.9941666666666666,0.9939996571232642
12,1.8824538056487654,4.211356014551711,0.9987333333333334,0.9986916402699353,0.9915,0.9912954429083461
13,1.8300738187044772,3.332653348319127,0.9986333333333334,0.9985882028855756,0.9943333333333333,0.9941480206540447
14,1.7389441025252381,2.523587020468767,0.9990666666666667,0.9990360118432831,0.9948333333333333,0.994667125408567
15,0.9981259592354945,3.0478257007730463,0.9994333333333333,0.9994147013255293,0.9951666666666666,0.9950265820613959
