epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,231.9369789827615,59.584756900090724,0.8910333333333333,0.8843691415231155,0.8993333333333333,0.9046114971572963
2,79.31212679529563,35.27572642295854,0.9684666666666667,0.9674533819583018,0.9528333333333333,0.953354211307071
3,43.59743965091184,25.671153404160577,0.9836,0.9830613509605454,0.9628333333333333,0.962400944191536
4,32.14661217352841,48.37122768184781,0.9879,0.987502151833362,0.9501666666666667,0.9467308034918939
5,22.351881089562085,11.425922789334436,0.9918666666666667,0.9916018448406415,0.986,0.985655737704918
6,17.16696527181921,8.402676044187956,0.9936,0.9933879743784008,0.9891666666666666,0.9888641425389755
7,14.661562597961165,20.650270511578128,0.9942666666666666,0.994076319052211,0.9773333333333334,0.9768943255181787
8,13.081033358424975,10.497717211907457,0.9951333333333333,0.9949745284317775,0.989,0.988659793814433
9,8.563104708686296,30.874902476821035,0.997,0.9969029593943565,0.9765,0.9752414398595259
10,8.267536758460665,40.90666025180221,0.9968666666666667,0.9967639768658771,0.9661666666666666,0.9653406180638552
11,10.369494424661752,13.062499189343612,0.9961333333333333,0.9960068846815835,0.9865,0.9861609431060995
12,8.692059474115013,22.46683927099876,0.9967666666666667,0.9966598946317275,0.9783333333333334,0.9777397260273972
13,5.627459587355588,7.859460635556545,0.9981666666666666,0.9981062562407464,0.9931666666666666,0.9929516933127042
14,4.675975639266824,9.600663354867947,0.9983333333333333,0.9982789480930745,0.9901666666666666,0.9899128056077962
15,4.582434987320312,17.130095416705544,0.9983666666666666,0.9983129626441728,0.9856666666666667,0.9851519337016574
