epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,320.9431899189949,61.46200406551361,0.5570333333333334,0.3758981825012915,0.6355,0.624549356223176
2,207.07911822199821,34.68369525671005,0.8108,0.8034081463009144,0.8758333333333334,0.8786447304121192
3,128.4296002238989,44.695779234170914,0.9023333333333333,0.8995061050898614,0.8908333333333334,0.8837622005323869
4,87.73477086424828,27.3052523676306,0.9363666666666667,0.9340473311452755,0.9363333333333334,0.9330294530154277
5,63.58817242085934,23.366456649731845,0.9557666666666667,0.9541607654841272,0.95,0.9491353001017294
6,51.846505522727966,23.699499593116343,0.9637,0.9623795211939061,0.9528333333333333,0.9516156607967173
7,43.444578032940626,19.098822413478047,0.9710666666666666,0.9700379703141181,0.9616666666666667,0.9611092323300643
8,37.43111983174458,22.03766213846393,0.9745,0.9735869902979664,0.9586666666666667,0.9577800476676881
9,33.29225309146568,19.38419252820313,0.9771333333333333,0.9763660166747055,0.9651666666666666,0.9644012944983819
10,29.515071597881615,19.45676776964683,0.9804666666666667,0.9798000689417442,0.9671666666666666,0.966627138743012
11,27.04560799128376,18.096415502368473,0.9810666666666666,0.9804124422373957,0.9698333333333333,0.9692960135708227
12,24.671493774279952,20.127045393222943,0.9828333333333333,0.982255452572098,0.9685,0.9679606713002203
13,23.884920389857143,21.10772129317047,0.9831666666666666,0.9826071982090581,0.9676666666666667,0.9671520487639689
14,19.893908579833806,19.782791548175737,0.9868333333333333,0.9864041579182873,0.9686666666666667,0.9676419965576593
15,21.816519647138193,17.67851990723284,0.9848333333333333,0.9843238587424634,0.9728333333333333,0.9721033715557077
