epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,119.40739780291915,5.672570060472935,0.8712333333333333,0.8638206366552684,0.9788333333333333,0.9782347900599828
2,21.603175366530195,3.7640949091874063,0.9847,0.9842230089712302,0.9871666666666666,0.9867765756482912
3,15.96044941979926,3.9231515376013704,0.9889333333333333,0.9885722153380146,0.9896666666666667,0.9893689986282579
4,11.295947261591209,4.60876580956392,0.9927,0.9924615331658119,0.985,0.9843966712898752
5,7.112628471804783,3.9433352055493742,0.9953,0.9951471347444502,0.9906666666666667,0.9903614457831326
6,7.144926487962948,3.199325421184767,0.9951,0.9949392364099563,0.9905,0.9902313624678664
7,6.351870848855469,3.6048541259369813,0.9956333333333334,0.9954897572731968,0.9883333333333333,0.9880546075085325
8,3.9546442820719676,3.3429562723031268,0.9972333333333333,0.9971423652952316,0.9898333333333333,0.989524300188906
9,3.2459255433386716,4.693341301761393,0.9978666666666667,0.9977965984989328,0.9893333333333333,0.9890147614143495
10,3.4316067237814423,5.098011428814061,0.9975333333333334,0.997452317014391,0.9861666666666666,0.9856921220479228
11,6.216751807980472,3.7276754711710964,0.9958333333333333,0.9956966296003029,0.9905,0.9902246612930886
12,3.7063497867711703,3.8686429370136466,0.9977,0.9976253570568193,0.9893333333333333,0.9889464594127807
13,2.9842319286944985,4.641614454156297,0.9981333333333333,0.9980717581433786,0.9895,0.9891882615411017
14,3.0841756962290674,5.155044323822949,0.9978,0.9977274292404105,0.9883333333333333,0.9879725085910653
15,2.92396510092658,5.140361722384114,0.9978666666666667,0.9977973568281938,0.9881666666666666,0.9877733769588428
