epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,93.3641102258116,12.805006795795634,0.916,0.9121706398996235,0.9593333333333334,0.9588948787061995
2,30.04485337762162,8.579613731591962,0.9779,0.9771874892474968,0.9705,0.9702471003530005
3,19.324159864569083,23.15800077666063,0.9859,0.9854494169447215,0.9486666666666667,0.9494916366021646
4,15.225168918143027,3.3764669104712084,0.9884333333333334,0.9880628848601604,0.9883333333333333,0.9880260006842285
5,11.230799557059072,5.8981665088795125,0.9919666666666667,0.9917053863362588,0.9855,0.9852116267210607
6,7.6272852405236335,2.5149395411863225,0.9946333333333334,0.994456877259425,0.9918333333333333,0.9915648132208642
7,4.606858593964716,3.358841257806489,0.9966,0.9964880870403525,0.9913333333333333,0.9910406616126809
8,4.008242399911978,2.9676464619315084,0.9966666666666667,0.9965571851545824,0.9933333333333333,0.9931436407267741
9,6.229196829257489,6.779666562724742,0.9956333333333334,0.9954888253727745,0.9846666666666667,0.9839777081156391
10,4.662747038946691,3.8540565505245468,0.9964333333333333,0.9963183429102295,0.991,0.9907881269191402
11,4.511758017732063,3.3298302720841093,0.9966666666666667,0.996557896186149,0.9925,0.9922932008905635
12,1.5067214041428088,3.0671078758109616,0.9990333333333333,0.9990016180672703,0.9935,0.9933184855233853
13,2.0536029175250405,3.4827195798727644,0.9986333333333334,0.998588397314512,0.9928333333333333,0.9926458012656063
14,1.4554346692784748,2.782919944118021,0.9990666666666667,0.9990358790716892,0.9935,0.9932978174944148
15,1.785468013533091,3.4975835623372404,0.9989,0.9988638319848511,0.9903333333333333,0.99
