epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,243.93079091329128,22.38794662244618,0.8845,0.8793397639029147,0.9625,0.9611331836241147
2,112.37302597798407,20.46570258261636,0.9601,0.9587369437071254,0.9601666666666666,0.9588569461180926
3,110.16115814587101,25.932940003462136,0.9621666666666666,0.9609549692111872,0.9553333333333334,0.9553184394798266
4,91.81741435918957,21.055527007207274,0.9675666666666667,0.9664841032000275,0.9635,0.9623128549303046
5,316.8017296423204,138.63627034425735,0.8291,0.8222322388266704,0.567,0.40846994535519127
6,673.2223644852638,128.72198283672333,0.5526333333333333,0.5195288726595783,0.5808333333333333,0.55620257631904
7,658.8954985737801,128.6755376458168,0.5575,0.5203252032520326,0.5611666666666667,0.5962275724582119
8,658.2833961248398,128.68193358182907,0.5560666666666667,0.5205903527717782,0.565,0.5769854132901134
9,655.9442759752274,129.90945386886597,0.5634666666666667,0.5278679068425987,0.5583333333333333,0.5921822099107418
10,660.1891918182373,131.10533195734024,0.5592333333333334,0.5246090239079634,0.5483333333333333,0.37181270282800183
11,656.78836196661,127.64010965824127,0.5616666666666666,0.5261602767368118,0.582,0.484375
12,658.9052105545998,127.47804605960846,0.5595333333333333,0.5240256465672501,0.5921666666666666,0.5320328934786767
13,657.4364221096039,129.52382856607437,0.5601333333333334,0.524913594470046,0.568,0.5524861878453039
14,656.3704752326012,128.46062690019608,0.5610666666666667,0.524311827180117,0.5778333333333333,0.5459759813586664
15,658.9384810328484,131.19047433137894,0.5587333333333333,0.5227829848594088,0.5628333333333333,0.39659535311709226
